Date,Maximum temperature (Degree C)
2019-01-01,31.6
2019-01-02,31.1
2019-01-03,29.4
2019-01-04,30.1
2019-01-05,30.9
2019-01-06,31.3
2019-01-07,30.1
2019-01-08,29.9
2019-01-09,29.8
2019-01-10,31
2019-01-11,31
2019-01-12,31.7
2019-01-13,32.1
2019-01-14,32
2019-01-15,31.6
2019-01-16,33.3
2019-01-17,32.6
2019-01-18,32.4
2019-01-19,32.9
2019-01-20,33
2019-01-21,32.3
2019-01-22,32.2
2019-01-23,33.6
2019-01-24,33.2
2019-01-25,33.2
2019-01-26,33
2019-01-27,32.5
2019-01-28,33.2
2019-01-29,32
2019-01-30,32.3
2019-01-31,33
2019-02-01,33.3
2019-02-02,32.2
2019-02-03,31.4
2019-02-04,31.3
2019-02-05,32.1
2019-02-06,30
2019-02-07,30.5
2019-02-08,30.4
2019-02-09,33
2019-02-10,32.8
2019-02-11,31.5
2019-02-12,34.8
2019-02-13,34.3
2019-02-14,31.8
2019-02-15,31.3
2019-02-16,30.9
2019-02-17,32
2019-02-18,32.2
2019-02-19,33.7
2019-02-20,33.9
2019-02-21,33.5
2019-02-22,32
2019-02-23,31.9
2019-02-24,30.7
2019-02-25,29.4
2019-02-26,26.8
2019-02-27,29.5
2019-02-28,26.8
2019-03-01,29.3
2019-03-02,28.6
2019-03-03,29.6
2019-03-04,30
2019-03-05,30.8
2019-03-06,32.8
2019-03-07,34.1
2019-03-08,30.5
2019-03-09,32
2019-03-10,33.3
2019-03-11,34.6
2019-03-12,37.7
2019-03-13,35.9
2019-03-14,32.1
2019-03-15,34
2019-03-16,26.8
2019-03-17,28.3
2019-03-18,31.3
2019-03-19,34
2019-03-20,32.2
2019-03-21,32.3
2019-03-22,30.4
2019-03-23,34.3
2019-03-24,34.8
2019-03-25,33.3
2019-03-26,31.8
2019-03-27,22.8
2019-03-28,25.6
2019-03-29,29.1
2019-03-30,27.9
2019-03-31,27.9
2019-04-01,27.5
2019-04-02,27.2
2019-04-03,26.4
2019-04-04,27.8
2019-04-05,27.5
2019-04-06,27.8
2019-04-07,29
2019-04-08,29.1
2019-04-09,29.4
2019-04-10,27.4
2019-04-11,26.3
2019-04-12,25
2019-04-13,26.4
2019-04-14,26.6
2019-04-15,25.7
2019-04-16,26.1
2019-04-17,27.3
2019-04-18,28.2
2019-04-19,27.9
2019-04-20,25.5
2019-04-21,26.3
2019-04-22,26
2019-04-23,25.1
2019-04-24,26.3
2019-04-25,26.6
2019-04-26,27.3
2019-04-27,28.2
2019-04-28,27.4
2019-04-29,25.4
2019-04-30,24.3
2019-05-01,26.9
2019-05-02,26
2019-05-03,25.6
2019-05-04,24.2
2019-05-05,24.8
2019-05-06,25.4
2019-05-07,26.4
2019-05-08,27.6
2019-05-09,27.2
2019-05-10,27.1
2019-05-11,23.1
2019-05-12,24.8
2019-05-13,25
2019-05-14,24.5
2019-05-15,24.7
2019-05-16,25.5
2019-05-17,23.7
2019-05-18,23.8
2019-05-19,25
2019-05-20,22.9
2019-05-21,25
2019-05-22,23.8
2019-05-23,24.4
2019-05-24,25.1
2019-05-25,24.9
2019-05-26,26.4
2019-05-27,27.5
2019-05-28,22.5
2019-05-29,23.3
2019-05-30,23.5
2019-05-31,20.6
2019-06-01,22.9
2019-06-02,22.3
2019-06-03,22
2019-06-04,17.2
2019-06-05,22.4
2019-06-06,22.3
2019-06-07,22.4
2019-06-08,18.1
2019-06-09,24.9
2019-06-10,24.7
2019-06-11,25.9
2019-06-12,25
2019-06-13,25.2
2019-06-14,27.5
2019-06-15,25.9
2019-06-16,24
2019-06-17,22.7
2019-06-18,23.6
2019-06-19,24.2
2019-06-20,20.7
2019-06-21,23.3
2019-06-22,21.4
2019-06-23,21.7
2019-06-24,20.4
2019-06-25,20.3
2019-06-26,17.7
2019-06-27,22.7
2019-06-28,23
2019-06-29,23.5
2019-06-30,25
2019-07-01,23.5
2019-07-02,23
2019-07-03,23.3
2019-07-04,23.7
2019-07-05,22
2019-07-06,21.1
2019-07-07,20.9
2019-07-08,20.3
2019-07-09,24
2019-07-10,23.7
2019-07-11,24.5
2019-07-12,26
2019-07-13,23.8
2019-07-14,20.1
2019-07-15,20.1
2019-07-16,23.2
2019-07-17,23.6
2019-07-18,24.7
2019-07-19,22.9
2019-07-20,23.1
2019-07-21,22.1
2019-07-22,24.3
2019-07-23,27.1
2019-07-24,26.9
2019-07-25,23.9
2019-07-26,23.3
2019-07-27,25.9
2019-07-28,24.1
2019-07-29,24
2019-07-30,25.9
2019-07-31,22.4
2019-08-01,21.8
2019-08-02,22.1
2019-08-03,23.6
2019-08-04,24
2019-08-05,23.4
2019-08-06,24
2019-08-07,23.1
2019-08-08,28.7
2019-08-09,25.3
2019-08-10,22.9
2019-08-11,20.6
2019-08-12,22
2019-08-13,23.3
2019-08-14,22.7
2019-08-15,23.8
2019-08-16,24.7
2019-08-17,27.7
2019-08-18,24.4
2019-08-19,28.6
2019-08-20,23.1
2019-08-21,26.2
2019-08-22,25.4
2019-08-23,23.7
2019-08-24,23
2019-08-25,24.9
2019-08-26,27.2
2019-08-27,25.4
2019-08-28,23.3
2019-08-29,19.7
2019-08-30,23.7
2019-08-31,24.5
2019-09-01,25.8
2019-09-02,29.3
2019-09-03,27.3
2019-09-04,33.7
2019-09-05,31.7
2019-09-06,34.8
2019-09-07,26.4
2019-09-08,25.9
2019-09-09,23.6
2019-09-10,23.1
2019-09-11,23
2019-09-12,25.1
2019-09-13,30.5
2019-09-14,30.5
2019-09-15,25
2019-09-16,26.2
2019-09-17,27.7
2019-09-18,27.2
2019-09-19,25.7
2019-09-20,26.9
2019-09-21,26.9
2019-09-22,26.8
2019-09-23,29.7
2019-09-24,24.9
2019-09-25,26.3
2019-09-26,25.8
2019-09-27,26.9
2019-09-28,31.1
2019-09-29,26.1
2019-09-30,28.2
2019-10-01,25.2
2019-10-02,24.7
2019-10-03,25.9
2019-10-04,26.7
2019-10-05,30.3
2019-10-06,27.1
2019-10-07,30.8
2019-10-08,30.5
2019-10-09,26
2019-10-10,24.5
2019-10-11,23.7
2019-10-12,21.3
2019-10-13,25.3
2019-10-14,25.9
2019-10-15,27.2
2019-10-16,28.6
2019-10-17,30.6
2019-10-18,27.2
2019-10-19,26.3
2019-10-20,28.4
2019-10-21,25
2019-10-22,25
2019-10-23,26.6
2019-10-24,27.2
2019-10-25,27.5
2019-10-26,27.6
2019-10-27,29.6
2019-10-28,27.4
2019-10-29,26.2
2019-10-30,24.7
2019-10-31,26.7
2019-11-01,24.7
2019-11-02,26
2019-11-03,27.3
2019-11-04,30.9
2019-11-05,29.2
2019-11-06,29.7
2019-11-07,34.8
2019-11-08,34.5
2019-11-09,31.5
2019-11-10,33.3
2019-11-11,27.7
2019-11-12,30.8
2019-11-13,33.8
2019-11-14,29.8
2019-11-15,31.6
2019-11-16,34.7
2019-11-17,30.5
2019-11-18,28.2
2019-11-19,31.9
2019-11-20,32
2019-11-21,29.3
2019-11-22,30.3
2019-11-23,30
2019-11-24,29.9
2019-11-25,30.5
2019-11-26,30.6
2019-11-27,31.7
2019-11-28,28.9
2019-11-29,31.3
2019-11-30,32.1
2019-12-01,31.4
2019-12-02,34.5
2019-12-03,35.2
2019-12-04,33.9
2019-12-05,37.7
2019-12-06,38.6
2019-12-07,38.1
2019-12-08,32.6
2019-12-09,31.7
2019-12-10,33.5
2019-12-11,34.4
2019-12-12,31.3
2019-12-13,30.6
2019-12-14,30.7
2019-12-15,31.9
2019-12-16,41.2
2019-12-17,29.1
2019-12-18,28.9
2019-12-19,29.6
2019-12-20,30.3
2019-12-21,31.2
2019-12-22,30.1
2019-12-23,30.8
2019-12-24,30.4
2019-12-25,26.6
2019-12-26,29.2
2019-12-27,27.5
2019-12-28,28.9
2019-12-29,29.2
2019-12-30,30.1
2019-12-31,29.4
