trial_id,def_sex,offence,trial_place,trial_judge,verdict,trial_year,sentence
3878,MALE,CATTLE STEALING,ROMA,PAUL,NOT GUILTY,1887,DISCHARGED
3967,MALE,CATTLE STEALING,ROMA,PAUL,NOT GUILTY,1887,DISCHARGED
3968,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1887,12-18 MONTHS HL
5354,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1887,12-18 MONTHS HL
5357,MALE,EMBEZZLEMENT,TOWNSVILLE,NOEL,NOT GUILTY,1887,DISCHARGED
5370,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,1-11 MONTHS
5974,MALE,FORGERY OR UTTERING,TOWNSVILLE,NOEL,NOT GUILTY,1887,DISCHARGED
5975,MALE,LARCENY,CHARTERS TOWERS,NOEL,NOT GUILTY,1887,DISCHARGED
5976,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,3 YEARS HL
6390,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,5 YEARS HL
6396,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,2 YEARS HL
6459,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,12-18 MONTHS HL
8067,MALE,FORGERY OR UTTERING,ROMA,PAUL,GUILTY,1887,2 YEARS HL
8070,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,3 YEARS HL
8073,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,1-11 MONTHS
8403,MALE,LARCENY,ROMA,PAUL,GUILTY,1887,1-11 MONTHS HL
8415,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1887,12-18 MONTHS HL
8420,MALE,FALSE PRETENCES,IPSWICH,PAUL,NOT GUILTY,1887,DISCHARGED
9119,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,12-18 MONTHS HL
9120,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,12-18 MONTHS HL
9369,MALE,LARCENY,ROCKHAMPTON,MILLER,GUILTY,1888,12-18 MONTHS HL
9526,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1888,3 YEARS HL
9529,MALE,HORSE STEALING,BRISBANE,PAUL,GUILTY,1888,2 YEARS HL
9531,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1888,5 YEARS HL
9532,MALE,EMBEZZLEMENT,TOWNSVILLE,NOEL,GUILTY,1888,2 YEARS HL
10091,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1895,12-18 MONTHS HL
10095,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1895,12-18 MONTHS HL
10378,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,12-18 MONTHS HL
10379,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,4 YEARS HL
10380,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1887,2 YEARS HL
12789,MALE,FALSE PRETENCES,BRISBANE,PAUL,GUILTY,1888,12-18 MONTHS HL
12815,MALE,FALSE PRETENCES,ROMA,PAUL,GUILTY,1888,12-18 MONTHS HL
12823,FEMALE,LARCENY,BRISBANE,PAUL,NOT GUILTY,1888,DISCHARGED
12830,MALE,LARCENY,BRISBANE,PAUL,GUILTY,1888,12-18 MONTHS HL
13632,MALE,CATTLE STEALING,IPSWICH,PAUL,NOLLE,1888,DISCHARGED
13652,MALE,CATTLE STEALING,IPSWICH,PAUL,NOT GUILTY,1888,DISCHARGED
14061,MALE,FALSE PRETENCES,ROMA,PAUL,GUILTY,1888,1-11 MONTHS HL
14067,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1888,3 YEARS HL
14181,MALE,HORSE STEALING,TOOWOOMBA,PAUL,NOT GUILTY,1888,DISCHARGED
14183,MALE,LARCENY,IPSWICH,PAUL,GUILTY,1888,12-18 MONTHS HL
14520,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1888,12-18 MONTHS HL
14564,MALE,FORGERY OR UTTERING,ROCKHAMPTON,MILLER,GUILTY,1888,2 YEARS HL
14571,MALE,LARCENY,ROMA,PAUL,GUILTY,1888,1-11 MONTHS HL
14743,MALE,LARCENY,TOWNSVILLE,NOEL,GUILTY,1888,3 YEARS HL
14744,MALE,LARCENY,BRISBANE,NOEL,GUILTY,1888,12-18 MONTHS HL
14745,MALE,LARCENY,BRISBANE,NOEL,NOT GUILTY,1888,DISCHARGED
14753,MALE,HORSE STEALING,BRISBANE,PAUL,GUILTY,1888,SUSPENDED
