"Squirrel Census data collected by a team of dedicated volunteer Squirrel Surveyors, under directions from the Dept. of Data - NYC.",,,,,,,,,,,,
The Squirrel Census covered 24 parks in New York City.,,,,,,,,,,,,
Data was collected over a 1 year period; March 2020 to Febuary 2021.,,,,,,,,,,,,
,,,,,,,,,,,,
Area,Park name,Park ID,Date,Squirrel ID,Squirrel count,Fur colour,Location,Activities; Interactions with Humans,Other Notes or Observations,Latitude,Longitude,Acres
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-01,1,Gray; White,On ground,Foraging; Indifferent to humans,,40.85941,-73.933936,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-02,1,Gray; White,On ground,Foraging; Indifferent to humans,Looks skinny,40.859436,-73.933937,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-03,1,Gray; White,On ground,"Eating, Digging something; Indifferent to humans",,40.859416,-73.933894,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-04,1,Gray; White,On ground,Running; Indifferent to humans,,40.859418,-73.933895,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-05,1,Gray; Cinnamon,On ground,"Running, Eating; Indifferent to humans",She left food,40.859493,-73.93359,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-06,1,Gray; Cinnamon,On ground,Climbing; Indifferent to humans,,40.860825,-73.932871,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-07,1,Gray; White,On ground,Foraging; Indifferent to humans,,40.860225,-73.933143,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-08,1,Black; Gray,Above Ground,Climbing; Runs from humans,,40.859965,-73.933412,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-09,1,Gray; White,On ground,Foraging; Indifferent to humans,,40.859892,-73.933326,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-10,1,Gray; White,On ground,"Eating, Digging; Indifferent to humans",,40.859636,-73.933717,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-11,1,Gray; Black,On ground,"Eating, Digging; Indifferent to humans",was intimidated by a dog,40.859576,-73.933738,67.213
UPPER MANHATTAN,Fort Tryon Park,M029,28/03/2020,M029-12,1,Gray; White,On ground,Running; Runs from humans,,40.859989,-73.934544,67.213
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-01,1,Gray,On ground,Running; Indifferent to humans,,40.845749,-73.9407,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-02,1,Gray; Cinnamon,Above Ground,Foraging; Indifferent to humans,,40.845875,-73.940808,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-03,1,Gray; Cinnamon,On ground,Foraging,,40.845875,-73.940808,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-04,1,Gray; Cinnamon,On ground,Running; Indifferent to humans,,40.846088,-73.940613,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-05,1,Gray; Cinnamon,On ground,Running; Runs from humans,,40.846088,-73.940613,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-06,1,Gray; Cinnamon,On ground,Foraging; Indifferent to humans,,40.846088,-73.940613,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-07,1,Gray,On ground,Runs from humans,,40.846222,-73.94094,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-08,1,Gray; Cinnamon,On ground,"Foraging, Nesting/gathering leaves; Indifferent to humans",,40.846222,-73.94094,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-09,1,Gray; Cinnamon,On ground,Chasing; Indifferent to humans,,40.846197,-73.941026,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-10,1,Gray; Cinnamon,On ground,Running; Indifferent to humans,,40.846185,-73.940613,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-11,1,Gray; Cinnamon,On ground,Eating; Runs from humans,,40.846271,-73.940579,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-12,1,Gray; Cinnamon,"Above Ground, Specific Location: tree",Climbing; Indifferent to humans,,40.846332,-73.940369,6.699
UPPER MANHATTAN,J. Hood Wright Park,M099,3/10/2020,M099-13,1,Gray; White,"Above Ground, Specific Location: tree",Sleeping; Indifferent to humans,,40.846332,-73.940369,6.699
